OTU	.y.	p	p.adj	p.format	p.signif	method	Kingdom	Phylum	Class	Order	Family	Genus	Species	Confidence	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	Type	mean	sd	n	se	rel_abun	se2
04e85c02017ef5600567605d7e2bf050	value	2.23E-05	0.0023	2.20E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 f__Beijerinckiaceae	NA	0.959583966	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.411764706	0.870260272	17	0.051191781	0.001600329	0.005119178
13105f9363c94cb0aea075ae153c9a6d	value	6.04E-05	0.0041	6.00E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 f__Beijerinckiaceae	NA	0.909669261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.411764706	0.795206226	17	0.046776837	0.001600329	0.004677684
13105f9363c94cb0aea075ae153c9a6d	value	6.04E-05	0.0041	6.00E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rhizobiales	 f__Beijerinckiaceae	 f__Beijerinckiaceae	NA	0.909669261	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	11.68	29.48123697	25	1.179249479	0.045394481	0.117924948
44a889feef907ffb122804a6177a02a0	value	0.000121958	0.006	0.00012	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Burkholderiaceae	 f__Burkholderiaceae	NA	0.998379157	AmphiBac_2971	95	120	6	0	1	120	1	1391	-1	0	High N	7.12	6.186813935	25	0.247472557	0.027671978	0.024747256
44a889feef907ffb122804a6177a02a0	value	0.000121958	0.006	0.00012	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Burkholderiaceae	 f__Burkholderiaceae	NA	0.998379157	AmphiBac_2971	95	120	6	0	1	120	1	1391	-1	0	Low N	2.058823529	3.34422241	17	0.196718965	0.008001646	0.019671897
88dfb1a866fde9dd37adcf18cf5829d6	value	0.00018417	0.0075	0.00018	***	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 f__Chitinophagaceae	NA	0.996672668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0	0	25	0	0	0
88dfb1a866fde9dd37adcf18cf5829d6	value	0.00018417	0.0075	0.00018	***	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Chitinophagales	 f__Chitinophagaceae	 f__Chitinophagaceae	NA	0.996672668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	1.529411765	2.29449469	17	0.134970276	0.00594408	0.013497028
af69071aa9231b7be650d79bfa807549	value	3.14E-07	0.0012	3.10E-07	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.999331357	AmphiBac_1574	97.5	120	3	0	1	120	1	1352	-1	0	High N	11.64	5.506662631	25	0.220266505	0.045239021	0.022026651
af69071aa9231b7be650d79bfa807549	value	3.14E-07	0.0012	3.10E-07	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.999331357	AmphiBac_1574	97.5	120	3	0	1	120	1	1352	-1	0	Low N	2	2.121320344	17	0.12478355	0.007773028	0.012478355
ce0a2b868a2c7f32c37f8f61fa40eaa9	value	1.80E-05	0.0021	1.80E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.816176748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.529411765	0.943242218	17	0.055484836	0.002057566	0.005548484
ce0a2b868a2c7f32c37f8f61fa40eaa9	value	1.80E-05	0.0021	1.80E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.816176748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	4.24	3.12623309	25	0.125049324	0.016478818	0.012504932
a54095a893fd5abc045d162bbe20644a	value	2.45E-05	0.0024	2.40E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.975958541	AmphiBac_5506	99.2	120	1	0	1	120	1	1371	-1	0	High N	40.64	32.83021982	25	1.313208793	0.157947921	0.131320879
a54095a893fd5abc045d162bbe20644a	value	2.45E-05	0.0024	2.40E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.975958541	AmphiBac_5506	99.2	120	1	0	1	120	1	1371	-1	0	Low N	3.294117647	5.417156841	17	0.318656285	0.012802634	0.031865628
5fccc08c0f844a0cd3a3063297d80f96	value	0.000118393	0.006	0.00012	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.972967924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0	0	17	0	0	0
5fccc08c0f844a0cd3a3063297d80f96	value	0.000118393	0.006	0.00012	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.972967924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0.84	0.850490055	25	0.034019602	0.003264672	0.00340196
08b3d5a40451e161731ff1ea8868f21f	value	0.000185523	0.0075	0.00019	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.993001937	AmphiBac_5506	100	120	0	0	1	120	1	1371	-1	0	Low N	0.411764706	1.697749375	17	0.09986761	0.001600329	0.009986761
08b3d5a40451e161731ff1ea8868f21f	value	0.000185523	0.0075	0.00019	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.993001937	AmphiBac_5506	100	120	0	0	1	120	1	1371	-1	0	High N	4.64	4.872371086	25	0.194894843	0.018033424	0.019489484
ce0c2603d676b7be08562a52440d2746	value	0.000205334	0.0079	0.00021	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.969892415	AmphiBac_5509	100	120	0	0	1	120	1	1218	-1	0	Low N	15.17647059	27.21267006	17	1.600745298	0.058983562	0.16007453
ce0c2603d676b7be08562a52440d2746	value	0.000205334	0.0079	0.00021	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Comamonadaceae	 f__Comamonadaceae	NA	0.969892415	AmphiBac_5509	100	120	0	0	1	120	1	1218	-1	0	High N	0.16	0.6244998	25	0.024979992	0.000621842	0.002497999
b621989952250d8d6ed51140cdf64a9a	value	0.000168218	0.0075	0.00017	***	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Dysgonomonadaceae	 f__Dysgonomonadaceae	 s__uncultured_soil	0.992128001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	1.84	2.014116845	25	0.080564674	0.007151185	0.008056467
b621989952250d8d6ed51140cdf64a9a	value	0.000168218	0.0075	0.00017	***	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Dysgonomonadaceae	 f__Dysgonomonadaceae	 s__uncultured_soil	0.992128001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.058823529	0.242535625	17	0.014266801	0.000228618	0.00142668
7cd8db47a5ec2f94390d16c8b1030dcd	value	1.82E-05	0.0021	1.80E-05	****	Kruskal-Wallis	d__Bacteria	 p__Fibrobacterota	 c__Fibrobacteria	 o__Fibrobacterales	 f__Fibrobacteraceae	 f__Fibrobacteraceae	 s__metagenome	0.868692044	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	2.96	2.668957349	25	0.106758294	0.011504081	0.010675829
a87626aae09174653a6d97621ae9ea93	value	5.86E-05	0.004	5.90E-05	****	Kruskal-Wallis	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 f__Gemmataceae	NA	0.999995174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	1.411764706	1.769845457	17	0.104108556	0.005486843	0.010410856
a87626aae09174653a6d97621ae9ea93	value	5.86E-05	0.004	5.90E-05	****	Kruskal-Wallis	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 f__Gemmataceae	NA	0.999995174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0	0	25	0	0	0
fdfac38444c715f4bac668f63744b0d4	value	0.000236722	0.0085	0.00024	***	Kruskal-Wallis	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 f__Gemmataceae	 s__uncultured_Zavarzinella	0.981665167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0.04	0.2	25	0.008	0.000155461	8.00E-04
fdfac38444c715f4bac668f63744b0d4	value	0.000236722	0.0085	0.00024	***	Kruskal-Wallis	d__Bacteria	 p__Planctomycetota	 c__Planctomycetes	 o__Gemmatales	 f__Gemmataceae	 f__Gemmataceae	 s__uncultured_Zavarzinella	0.981665167	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	1.294117647	1.571810496	17	0.092459441	0.005029606	0.009245944
22fe7067ec2eabaf617adf594cf85f1d	value	3.50E-05	0.0031	3.50E-05	****	Kruskal-Wallis	d__Bacteria	 p__Acidobacteriota	 c__Holophagae	 o__Holophagales	 f__Holophagaceae	 f__Holophagaceae	NA	0.999999991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	1.176470588	1.975958442	17	0.11623285	0.004572369	0.011623285
22fe7067ec2eabaf617adf594cf85f1d	value	3.50E-05	0.0031	3.50E-05	****	Kruskal-Wallis	d__Bacteria	 p__Acidobacteriota	 c__Holophagae	 o__Holophagales	 f__Holophagaceae	 f__Holophagaceae	NA	0.999999991	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	6.24	4.313544559	25	0.172541782	0.024251846	0.017254178
8e2f52ba6fbd98b9c67fc58cc761401c	value	7.91E-05	0.0045	7.90E-05	****	Kruskal-Wallis	d__Bacteria	 p__Acidobacteriota	 c__Holophagae	 o__Holophagales	 f__Holophagaceae	 f__Holophagaceae	NA	0.999999995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	1.352941176	1.868862504	17	0.109933088	0.005258225	0.010993309
8e2f52ba6fbd98b9c67fc58cc761401c	value	7.91E-05	0.0045	7.90E-05	****	Kruskal-Wallis	d__Bacteria	 p__Acidobacteriota	 c__Holophagae	 o__Holophagales	 f__Holophagaceae	 f__Holophagaceae	NA	0.999999995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	5.24	3.099462319	25	0.123978493	0.020365332	0.012397849
ad5933694cf3e4fb3534ea48fbd0bb5f	value	5.76E-05	0.004	5.80E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Methylococcales	 f__Methylomonadaceae	 f__Methylomonadaceae	NA	0.997528423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	3.529411765	4.976414963	17	0.292730292	0.013717108	0.029273029
ad5933694cf3e4fb3534ea48fbd0bb5f	value	5.76E-05	0.004	5.80E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Methylococcales	 f__Methylomonadaceae	 f__Methylomonadaceae	NA	0.997528423	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	15.32	9.031057524	25	0.361242301	0.059541391	0.03612423
a9a349ff12cf218028f055ee1312331a	value	7.97E-05	0.0045	8.00E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Methylococcales	 f__Methylomonadaceae	 f__Methylomonadaceae	NA	0.938949376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.588235294	1.543487266	17	0.090793369	0.002286185	0.009079337
a9a349ff12cf218028f055ee1312331a	value	7.97E-05	0.0045	8.00E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Methylococcales	 f__Methylomonadaceae	 f__Methylomonadaceae	NA	0.938949376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	4.4	4.509249753	25	0.18036999	0.017100661	0.018036999
2083d6fad42af49396f2541bd4742889	value	9.24E-05	0.005	9.20E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Methylococcales	 f__Methylomonadaceae	 f__Methylomonadaceae	NA	0.949253987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.294117647	0.685994341	17	0.040352608	0.001143092	0.004035261
2083d6fad42af49396f2541bd4742889	value	9.24E-05	0.005	9.20E-05	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Methylococcales	 f__Methylomonadaceae	 f__Methylomonadaceae	NA	0.949253987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	2.08	2.139314532	25	0.085572581	0.008083949	0.008557258
0f310ccb1bc11b8c5cdae4945b637592	value	0.000123065	0.006	0.00012	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Methylophilaceae	 f__Methylophilaceae	 s__uncultured_bacterium	0.787701803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0.92	0.953939201	25	0.038157568	0.003575593	0.003815757
0f310ccb1bc11b8c5cdae4945b637592	value	0.000123065	0.006	0.00012	***	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Methylophilaceae	 f__Methylophilaceae	 s__uncultured_bacterium	0.787701803	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0	0	17	0	0	0
76a11fe7129e5ba00a096080c1ffdaac	value	7.65E-05	0.0045	7.60E-05	****	Kruskal-Wallis	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 f__Microbacteriaceae	NA	0.997699501	AmphiBac_6080	95	120	6	0	1	120	1	587	-1	0	High N	2.6	3.763863264	25	0.150554531	0.010104936	0.015055453
76a11fe7129e5ba00a096080c1ffdaac	value	7.65E-05	0.0045	7.60E-05	****	Kruskal-Wallis	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Micrococcales	 f__Microbacteriaceae	 f__Microbacteriaceae	NA	0.997699501	AmphiBac_6080	95	120	6	0	1	120	1	587	-1	0	Low N	0.058823529	0.242535625	17	0.014266801	0.000228618	0.00142668
d30e8d52afa0d187fe5f2ee41d6d8b3f	value	2.39E-05	0.0024	2.40E-05	****	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 f__Microscillaceae	NA	0.997859928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	2.04	1.619670748	25	0.06478683	0.007928488	0.006478683
d30e8d52afa0d187fe5f2ee41d6d8b3f	value	2.39E-05	0.0024	2.40E-05	****	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Microscillaceae	 f__Microscillaceae	NA	0.997859928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.235294118	0.752446989	17	0.044261588	0.000914474	0.004426159
ed5fe73ec74bcba1988503f5050a88c1	value	1.25E-06	0.0014	1.20E-06	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Nitrosomonadaceae	 f__Nitrosomonadaceae	NA	0.99788197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0.12	0.439696865	25	0.017587875	0.000466382	0.001758787
ed5fe73ec74bcba1988503f5050a88c1	value	1.25E-06	0.0014	1.20E-06	****	Kruskal-Wallis	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Burkholderiales	 f__Nitrosomonadaceae	 f__Nitrosomonadaceae	NA	0.99788197	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	2.941176471	2.561020017	17	0.150648236	0.011430923	0.015064824
d8924eea7af0ea1b5f4451d4a9fceaa5	value	1.98E-05	0.0022	2.00E-05	****	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Paludibacteraceae	 f__Paludibacteraceae	NA	0.97281997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	2.48	1.710750323	25	0.068430013	0.009638554	0.006843001
d8924eea7af0ea1b5f4451d4a9fceaa5	value	1.98E-05	0.0022	2.00E-05	****	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Paludibacteraceae	 f__Paludibacteraceae	NA	0.97281997	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.294117647	0.848874688	17	0.049933805	0.001143092	0.004993381
57208ccd1825c37cae7fd93438d87125	value	7.66E-05	0.0045	7.70E-05	****	Kruskal-Wallis	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 f__Pedosphaeraceae	 s__uncultured_Verrucomicrobia	0.846870534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	5.764705882	5.717619826	17	0.336330578	0.022404609	0.033633058
57208ccd1825c37cae7fd93438d87125	value	7.66E-05	0.0045	7.70E-05	****	Kruskal-Wallis	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 f__Pedosphaeraceae	 s__uncultured_Verrucomicrobia	0.846870534	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	0.48	0.822597512	25	0.0329039	0.001865527	0.00329039
b5ccd5b5abd1a6c05060d1fdd2bacdd9	value	0.000132936	0.0064	0.00013	***	Kruskal-Wallis	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 f__Pedosphaeraceae	NA	0.999730599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	1.84	1.907878403	25	0.076315136	0.007151185	0.007631514
b5ccd5b5abd1a6c05060d1fdd2bacdd9	value	0.000132936	0.0064	0.00013	***	Kruskal-Wallis	d__Bacteria	 p__Verrucomicrobiota	 c__Verrucomicrobiae	 o__Pedosphaerales	 f__Pedosphaeraceae	 f__Pedosphaeraceae	NA	0.999730599	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0	0	17	0	0	0
7e65a4d5ab443d88ac89e417f9168f2d	value	0.000119275	0.006	0.00012	***	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Prolixibacteraceae	 f__Prolixibacteraceae	 s__uncultured_bacterium	0.923893671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.176470588	0.52859414	17	0.031093773	0.000685855	0.003109377
7e65a4d5ab443d88ac89e417f9168f2d	value	0.000119275	0.006	0.00012	***	Kruskal-Wallis	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Bacteroidales	 f__Prolixibacteraceae	 f__Prolixibacteraceae	 s__uncultured_bacterium	0.923893671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	1.36	1.113552873	25	0.044542115	0.005285659	0.004454211
5700673c4bbace2b0cd65d97f4a563ba	value	1.08E-05	0.0015	1.10E-05	****	Kruskal-Wallis	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Sandaracinaceae	 f__Sandaracinaceae	 s__uncultured_soil	0.92362707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Low N	0.117647059	0.332105582	17	0.019535622	0.000457237	0.001953562
5700673c4bbace2b0cd65d97f4a563ba	value	1.08E-05	0.0015	1.10E-05	****	Kruskal-Wallis	d__Bacteria	 p__Myxococcota	 c__Polyangia	 o__Polyangiales	 f__Sandaracinaceae	 f__Sandaracinaceae	 s__uncultured_soil	0.92362707	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	High N	2.48	2.725191125	25	0.109007645	0.009638554	0.010900764
